---run---
build/alu4
a: -8, b: -8, should be 0, got 1
a: -8, b: -7, got 1, OK!
a: -8, b: -6, got 1, OK!
a: -8, b: -5, got 1, OK!
a: -8, b: -4, got 1, OK!
a: -8, b: -3, got 1, OK!
a: -8, b: -2, got 1, OK!
a: -8, b: -1, got 1, OK!
a: -8, b: 0, got 1, OK!
a: -8, b: 1, got 1, OK!
a: -8, b: 2, got 1, OK!
a: -8, b: 3, got 1, OK!
a: -8, b: 4, got 1, OK!
a: -8, b: 5, got 1, OK!
a: -8, b: 6, got 1, OK!
a: -8, b: 7, got 1, OK!
a: -7, b: -8, should be 0, got 1
a: -7, b: -7, should be 0, got 1
a: -7, b: -6, got 1, OK!
a: -7, b: -5, got 1, OK!
a: -7, b: -4, got 1, OK!
a: -7, b: -3, got 1, OK!
a: -7, b: -2, got 1, OK!
a: -7, b: -1, got 1, OK!
a: -7, b: 0, got 1, OK!
a: -7, b: 1, got 1, OK!
a: -7, b: 2, got 1, OK!
a: -7, b: 3, got 1, OK!
a: -7, b: 4, got 1, OK!
a: -7, b: 5, got 1, OK!
a: -7, b: 6, got 1, OK!
a: -7, b: 7, should be 1, got 0
a: -6, b: -8, should be 0, got 1
a: -6, b: -7, should be 0, got 1
a: -6, b: -6, should be 0, got 1
a: -6, b: -5, got 1, OK!
a: -6, b: -4, got 1, OK!
a: -6, b: -3, got 1, OK!
a: -6, b: -2, got 1, OK!
a: -6, b: -1, got 1, OK!
a: -6, b: 0, got 1, OK!
a: -6, b: 1, got 1, OK!
a: -6, b: 2, got 1, OK!
a: -6, b: 3, got 1, OK!
a: -6, b: 4, got 1, OK!
a: -6, b: 5, got 1, OK!
a: -6, b: 6, should be 1, got 0
a: -6, b: 7, should be 1, got 0
a: -5, b: -8, should be 0, got 1
a: -5, b: -7, should be 0, got 1
a: -5, b: -6, should be 0, got 1
a: -5, b: -5, should be 0, got 1
a: -5, b: -4, got 1, OK!
a: -5, b: -3, got 1, OK!
a: -5, b: -2, got 1, OK!
a: -5, b: -1, got 1, OK!
a: -5, b: 0, got 1, OK!
a: -5, b: 1, got 1, OK!
a: -5, b: 2, got 1, OK!
a: -5, b: 3, got 1, OK!
a: -5, b: 4, got 1, OK!
a: -5, b: 5, should be 1, got 0
a: -5, b: 6, should be 1, got 0
a: -5, b: 7, should be 1, got 0
a: -4, b: -8, should be 0, got 1
a: -4, b: -7, should be 0, got 1
a: -4, b: -6, should be 0, got 1
a: -4, b: -5, should be 0, got 1
a: -4, b: -4, should be 0, got 1
a: -4, b: -3, got 1, OK!
a: -4, b: -2, got 1, OK!
a: -4, b: -1, got 1, OK!
a: -4, b: 0, got 1, OK!
a: -4, b: 1, got 1, OK!
a: -4, b: 2, got 1, OK!
a: -4, b: 3, got 1, OK!
a: -4, b: 4, should be 1, got 0
a: -4, b: 5, should be 1, got 0
a: -4, b: 6, should be 1, got 0
a: -4, b: 7, should be 1, got 0
a: -3, b: -8, should be 0, got 1
a: -3, b: -7, should be 0, got 1
a: -3, b: -6, should be 0, got 1
a: -3, b: -5, should be 0, got 1
a: -3, b: -4, should be 0, got 1
a: -3, b: -3, should be 0, got 1
a: -3, b: -2, got 1, OK!
a: -3, b: -1, got 1, OK!
a: -3, b: 0, got 1, OK!
a: -3, b: 1, got 1, OK!
a: -3, b: 2, got 1, OK!
a: -3, b: 3, should be 1, got 0
a: -3, b: 4, should be 1, got 0
a: -3, b: 5, should be 1, got 0
a: -3, b: 6, should be 1, got 0
a: -3, b: 7, should be 1, got 0
a: -2, b: -8, should be 0, got 1
a: -2, b: -7, should be 0, got 1
a: -2, b: -6, should be 0, got 1
a: -2, b: -5, should be 0, got 1
a: -2, b: -4, should be 0, got 1
a: -2, b: -3, should be 0, got 1
a: -2, b: -2, should be 0, got 1
a: -2, b: -1, got 1, OK!
a: -2, b: 0, got 1, OK!
a: -2, b: 1, got 1, OK!
a: -2, b: 2, should be 1, got 0
a: -2, b: 3, should be 1, got 0
a: -2, b: 4, should be 1, got 0
a: -2, b: 5, should be 1, got 0
a: -2, b: 6, should be 1, got 0
a: -2, b: 7, should be 1, got 0
a: -1, b: -8, should be 0, got 1
a: -1, b: -7, should be 0, got 1
a: -1, b: -6, should be 0, got 1
a: -1, b: -5, should be 0, got 1
a: -1, b: -4, should be 0, got 1
a: -1, b: -3, should be 0, got 1
a: -1, b: -2, should be 0, got 1
a: -1, b: -1, should be 0, got 1
a: -1, b: 0, got 1, OK!
a: -1, b: 1, should be 1, got 0
a: -1, b: 2, should be 1, got 0
a: -1, b: 3, should be 1, got 0
a: -1, b: 4, should be 1, got 0
a: -1, b: 5, should be 1, got 0
a: -1, b: 6, should be 1, got 0
a: -1, b: 7, should be 1, got 0
a: 0, b: -8, should be 0, got 1
a: 0, b: -7, should be 0, got 1
a: 0, b: -6, should be 0, got 1
a: 0, b: -5, should be 0, got 1
a: 0, b: -4, should be 0, got 1
a: 0, b: -3, should be 0, got 1
a: 0, b: -2, should be 0, got 1
a: 0, b: -1, should be 0, got 1
a: 0, b: 0, got 0, OK!
a: 0, b: 1, should be 1, got 0
a: 0, b: 2, should be 1, got 0
a: 0, b: 3, should be 1, got 0
a: 0, b: 4, should be 1, got 0
a: 0, b: 5, should be 1, got 0
a: 0, b: 6, should be 1, got 0
a: 0, b: 7, should be 1, got 0
a: 1, b: -8, should be 0, got 1
a: 1, b: -7, should be 0, got 1
a: 1, b: -6, should be 0, got 1
a: 1, b: -5, should be 0, got 1
a: 1, b: -4, should be 0, got 1
a: 1, b: -3, should be 0, got 1
a: 1, b: -2, should be 0, got 1
a: 1, b: -1, got 0, OK!
a: 1, b: 0, got 0, OK!
a: 1, b: 1, got 0, OK!
a: 1, b: 2, should be 1, got 0
a: 1, b: 3, should be 1, got 0
a: 1, b: 4, should be 1, got 0
a: 1, b: 5, should be 1, got 0
a: 1, b: 6, should be 1, got 0
a: 1, b: 7, should be 1, got 0
a: 2, b: -8, should be 0, got 1
a: 2, b: -7, should be 0, got 1
a: 2, b: -6, should be 0, got 1
a: 2, b: -5, should be 0, got 1
a: 2, b: -4, should be 0, got 1
a: 2, b: -3, should be 0, got 1
a: 2, b: -2, got 0, OK!
a: 2, b: -1, got 0, OK!
a: 2, b: 0, got 0, OK!
a: 2, b: 1, got 0, OK!
a: 2, b: 2, got 0, OK!
a: 2, b: 3, should be 1, got 0
a: 2, b: 4, should be 1, got 0
a: 2, b: 5, should be 1, got 0
a: 2, b: 6, should be 1, got 0
a: 2, b: 7, should be 1, got 0
a: 3, b: -8, should be 0, got 1
a: 3, b: -7, should be 0, got 1
a: 3, b: -6, should be 0, got 1
a: 3, b: -5, should be 0, got 1
a: 3, b: -4, should be 0, got 1
a: 3, b: -3, got 0, OK!
a: 3, b: -2, got 0, OK!
a: 3, b: -1, got 0, OK!
a: 3, b: 0, got 0, OK!
a: 3, b: 1, got 0, OK!
a: 3, b: 2, got 0, OK!
a: 3, b: 3, got 0, OK!
a: 3, b: 4, should be 1, got 0
a: 3, b: 5, should be 1, got 0
a: 3, b: 6, should be 1, got 0
a: 3, b: 7, should be 1, got 0
a: 4, b: -8, should be 0, got 1
a: 4, b: -7, should be 0, got 1
a: 4, b: -6, should be 0, got 1
a: 4, b: -5, should be 0, got 1
a: 4, b: -4, got 0, OK!
a: 4, b: -3, got 0, OK!
a: 4, b: -2, got 0, OK!
a: 4, b: -1, got 0, OK!
a: 4, b: 0, got 0, OK!
a: 4, b: 1, got 0, OK!
a: 4, b: 2, got 0, OK!
a: 4, b: 3, got 0, OK!
a: 4, b: 4, got 0, OK!
a: 4, b: 5, should be 1, got 0
a: 4, b: 6, should be 1, got 0
a: 4, b: 7, should be 1, got 0
a: 5, b: -8, should be 0, got 1
a: 5, b: -7, should be 0, got 1
a: 5, b: -6, should be 0, got 1
a: 5, b: -5, got 0, OK!
a: 5, b: -4, got 0, OK!
a: 5, b: -3, got 0, OK!
a: 5, b: -2, got 0, OK!
a: 5, b: -1, got 0, OK!
a: 5, b: 0, got 0, OK!
a: 5, b: 1, got 0, OK!
a: 5, b: 2, got 0, OK!
a: 5, b: 3, got 0, OK!
a: 5, b: 4, got 0, OK!
a: 5, b: 5, got 0, OK!
a: 5, b: 6, should be 1, got 0
a: 5, b: 7, should be 1, got 0
a: 6, b: -8, should be 0, got 1
a: 6, b: -7, should be 0, got 1
a: 6, b: -6, got 0, OK!
a: 6, b: -5, got 0, OK!
a: 6, b: -4, got 0, OK!
a: 6, b: -3, got 0, OK!
a: 6, b: -2, got 0, OK!
a: 6, b: -1, got 0, OK!
a: 6, b: 0, got 0, OK!
a: 6, b: 1, got 0, OK!
a: 6, b: 2, got 0, OK!
a: 6, b: 3, got 0, OK!
a: 6, b: 4, got 0, OK!
a: 6, b: 5, got 0, OK!
a: 6, b: 6, got 0, OK!
a: 6, b: 7, should be 1, got 0
a: 7, b: -8, should be 0, got 1
a: 7, b: -7, got 0, OK!
a: 7, b: -6, got 0, OK!
a: 7, b: -5, got 0, OK!
a: 7, b: -4, got 0, OK!
a: 7, b: -3, got 0, OK!
a: 7, b: -2, got 0, OK!
a: 7, b: -1, got 0, OK!
a: 7, b: 0, got 0, OK!
a: 7, b: 1, got 0, OK!
a: 7, b: 2, got 0, OK!
a: 7, b: 3, got 0, OK!
a: 7, b: 4, got 0, OK!
a: 7, b: 5, got 0, OK!
a: 7, b: 6, got 0, OK!
a: 7, b: 7, got 0, OK!
---done---
